"scenario","description","n","n_strata","min_stratum_n","median_stratum_n","max_stratum_n","overall_prevalence","true_prevalence","mean_detection_probability","var_null","vpc_null","var_main","vpc_main","pcv","interaction_sd","detection_strength","sparse","warnings"
"A","Additive social gradient, equal detection",6000,36,130,167,190,0.2365,0.2365,1,0.154851875844792,4.49533998164962,0,0,100,0,0,FALSE,"diagnostic approximation; use full random-intercept MAIHDA for empirical analysis"
"B","Residual intersectional heterogeneity, equal detection",6000,36,130,167,190,0.263333333333333,0.263333333333333,1,0.683299442359361,17.1978510666715,0.330207498033039,9.12156351482862,51.6745547321292,0.9,0,FALSE,"diagnostic approximation; use full random-intercept MAIHDA for empirical analysis"
"C","Additive structure with SES-patterned under-detection",6000,36,130,167,190,0.1165,0.2365,0.55053374111279,0.0271192064634375,0.81758546784596,0.00595386605830765,0.180648896049322,78.0455742083208,0,0.8,FALSE,"diagnostic approximation; use full random-intercept MAIHDA for empirical analysis"
"D","Residual interaction plus SES-patterned under-detection",6000,36,130,167,190,0.130333333333333,0.263333333333333,0.55053374111279,0.629352892030779,16.058111749745,0.286668811464382,8.01526213373118,54.4502273534699,0.9,0.8,FALSE,"diagnostic approximation; use full random-intercept MAIHDA for empirical analysis"
"E","Residual interaction with rare outcome and sparse strata",3500,30,2,48,541,0.116285714285714,0.116285714285714,1,0.795451327366817,19.4709700171107,0.101122432808237,2.98209124516881,87.2874141598352,0.9,0,TRUE,"diagnostic approximation; use full random-intercept MAIHDA for empirical analysis"
