n,n_strata,min_stratum_n,median_stratum_n,max_stratum_n,overall_prevalence,min_stratum_prevalence,max_stratum_prevalence,true_prevalence,mean_detection_probability,var_null,vpc_null,var_main,vpc_main,pcv,estimator,warnings,detection_strength
6000,36,144,167.5,190,0.271,0.025,0.8448275862068966,0.271,1.0,0.9594811415711286,22.579484043723614,0.6163965098554687,15.779691498192667,35.75730849215719,fast_empirical_logit_diagnostic,diagnostic approximation; use full random-intercept MAIHDA for empirical analysis,0.0
6000,36,144,167.5,190,0.20533333333333334,0.025,0.632183908045977,0.271,0.7866268114093394,0.7456047738972474,18.47626761399426,0.47168668088591154,12.539673197299443,36.73770643655842,fast_empirical_logit_diagnostic,diagnostic approximation; use full random-intercept MAIHDA for empirical analysis,0.3
6000,36,144,167.5,190,0.16483333333333333,0.025,0.4715909090909091,0.271,0.647966098274309,0.5738816198956571,14.852970727778683,0.37687688722526425,10.278240921440672,34.32846180127047,fast_empirical_logit_diagnostic,diagnostic approximation; use full random-intercept MAIHDA for empirical analysis,0.6
6000,36,144,167.5,190,0.12633333333333333,0.017241379310344827,0.4659090909090909,0.271,0.5036161971411358,0.5503216551336567,14.330584825113784,0.32569952188608486,9.008254108679054,40.8165172408158,fast_empirical_logit_diagnostic,diagnostic approximation; use full random-intercept MAIHDA for empirical analysis,0.9
6000,36,144,167.5,190,0.09316666666666666,0.0053475935828877,0.42045454545454547,0.271,0.38696144711423275,0.7132334954900674,17.8170219384364,0.3470556787395016,9.54256114886963,51.34052439572579,fast_empirical_logit_diagnostic,diagnostic approximation; use full random-intercept MAIHDA for empirical analysis,1.2
